Japanese	English
いる	"have, exist (animate)"
ある	"have, exist (inanimate)"
あれ	that over there
まいにち	every day
あまり	"(not) very, (not) much"
どれ	"which, what"
ない	not
あつい	hot warm passionate
あなた	you
あれ	that thing
いえ	house
いしゃ	doctor
いそがしい	busy hectic
えんぴつ	 pencil
おいしい	delicious
おおきい	big large great
かいしゃ	company corporation
がくせい	student
かばん	bag briefcase basket
カメラ	 camera
きょう	today
くるま	car
げんき	lively full of spirit
ここ	here this place
ざっし	journal magazine
じしょ	dictionary
スポーツ	sport
せまい	narrow confined
せんせい	teacher
そこ	 there (place relatively near listener);
それ	that
だいがく	university
たかい	high tall expensive
たのしい	enjoyable
ともだち	friend
どようび	Saturday
にちようび	 Sunday
はは	mother informal
ひと	person
ひま	free time
ひろい	spacious wide
へや	room or apartment
ペン	 pen
ほん	book
むずかしい	difficult
やすい	cheap or calm
ゆうめい	famous
りょうり	"cooking , meal"
うつくしい	beautiful or pure
しけん	exam
しんせつ	kind gentle considerate
てんいん	store employee or clerk
やさしい	tender graceful affectionate
こいびと	" lover, sweetheart, boyfriend, girlfriend"
コーヒー	 coffee
にほん	 Japan
あした	 tomorrow
やきゅう	 baseball
かいしゃいん	" company employee, office worker, white-collar worker"
あかるい	light well lit cheerful
おかし	candy or cake
ちゅうごくじん	 Chinese person
これ	this this one this person
おかあさん	mother formal
